"rhail_code","rhail_codedefinitionid","rhail_codetype","rhail_definition","importsequencenumber","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"N890","0be59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Electronic Visit Verification Data Element Requirements were not met.","","1","0","","","31492124","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N89","d0453b90-e2d1-ef11-8eea-6045bd08003d","984780001","Alert: Payment information for this claim has been forwarded to more than one other payer, but format limitations permit only one of the secondary payers to be identified in this remittance advice.
Notes: (Modified 4/1/07)","","1","0","","","31492122","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N889","0ae59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: This claim was originally processed in real-time, and we sent a real-time 835 response.","","1","0","","","31492120","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N888","09e59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: An electronic request for additional information has been sent for this claim.","","1","0","","","31492118","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N887","08e59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Providers not participating in the Medicare Advantage Plan have the right to appeal if the plan has partially or fully denied payment or if the provider believes the plan has not paid the services at the expected Medicare reimbursable rate or type of level/service. Providers may file their appeal in writing within 60 calendar days after the date of the remittance advice. For the plan to review the appeal, the plan will need a completed signed Waiver of Liability Statement. To obtain a Waiver of Liability form, please contact your Medicare Advantage Plan.

Once we receive the completed forms, we will give you a decision on your appeal within 60 calendar days.","","1","0","","","31492116","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N886","07e59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: A Health Care Claim Request for Additional Information (277 RFAI) has been sent.","","1","0","","","31492104","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N885","06e59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: This claim was not processed in accordance with the No Surprises Act cost-sharing or out-of-network payment requirements. The payer disagrees with your determination that those requirements apply. You may contact the payer to find out why it disagrees. You may appeal this adverse determination on behalf of the patient through the payer’s internal appeals and external review processes.","","1","0","","","31492102","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N884","05e59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: The No Surprises Act may apply to this claim. Please contact payer for instructions on how to submit information regarding whether or not the item or service was furnished during a patient visit to a participating facility.","","1","0","","","31492100","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N883","04e59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: Processed according to state law","","1","0","","","31492098","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N882","03e59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: The out-of-network payment and cost sharing amounts were based on the plan's allowance because the provider or facility obtained the patient's consent to waive the balance billing protections under the No Surprises Act.","","1","0","","","31492095","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N881","02e59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Client Obligation, patient responsibility for Home & Community Based Services (HCBS)","","1","0","","","31492093","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N880","01e59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Original claim closed due to changes in submitted data. Adjustment claim will be processed under a new claim number.","","1","0","","","31492091","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N88","cf453b90-e2d1-ef11-8eea-6045bd08003d","984780001","Alert: This payment is being made conditionally. An HHA episode of care notice has been filed for this patient. When a patient is treated under a HHA episode of care, consolidated billing requires that certain therapy services and supplies, such as this, be included in the HHA's payment. This payment will need to be recouped from you if we establish that the patient is concurrently receiving treatment under a HHA episode of care.","","1","0","","","31492089","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N879","00e59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: The notice and consent to balance bill, and to be charged out-of-network cost sharing, that was obtained from the patient with regard to the billed services, is not permitted for these services. Thus, cost sharing and the total amount paid have been calculated based on the requirements under the No Surprises Act, and balance billing is prohibited.","","1","0","","","31492087","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N878","ffe49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: The provider or facility specified that notice was provided and consent to balance bill obtained, but notice and consent was not provided and obtained in a manner consistent with applicable Federal law. Thus, cost sharing and the total amount paid have been calculated based on the requirements under the No Surprises Act, and balance billing is prohibited.","","1","0","","","31492085","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N877","fee49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: This initial payment is provided in accordance with the No Surprises Act. The provider or facility may initiate open negotiation if they desire to negotiate a higher out-of-network rate.","","1","0","","","31492083","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N876","fde49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: This item or service is covered under the plan. This is a notice of denial of payment provided in accordance with the No Surprises Act. The provider or facility may initiate open negotiation if they desire to negotiate a higher out-of-network rate than the amount paid by the patient in cost sharing.","","1","0","","","31492081","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N875","fce49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: This final payment equals the amount selected as the out-of-network rate by a Federal Independent Dispute Resolution Entity, in accordance with the No Surprises Act.","","1","0","","","31492079","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N874","fbe49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: This final payment was determined through open negotiation, in accordance with the No Surprises Act.","","1","0","","","31492077","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N873","fae49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: This final payment was calculated based on an All-Payer Model Agreement, in accordance with the No Surprises Act.","","1","0","","","31492075","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N872","f9e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: This final payment was calculated based on a specified state law, in accordance with the No Surprises Act.","","1","0","","","31492073","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N871","f8e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: This initial payment was calculated based on a specified state law, in accordance with the No Surprises Act.","","1","0","","","31492071","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N870","f7e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: In accordance with the No Surprises Act, cost sharing was based on the billed amount because the billed amount was lower than the qualifying payment amount.","","1","0","","","31492069","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N87","ce453b90-e2d1-ef11-8eea-6045bd08003d","984780001","Home use of biofeedback therapy is not covered.","","1","0","","","31492067","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N869","f6e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: Cost sharing was calculated based on the qualifying payment amount, in accordance with the No Surprises Act.","","1","0","","","31492065","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N868","f5e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: Cost sharing was calculated based on an All-Payer Model Agreement, in accordance with the No Surprises Act.","","1","0","","","31492063","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N867","f4e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: Cost sharing was calculated based on a specified state law, in accordance with the No Surprises Act.","","1","0","","","31492061","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N866","f3e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: This claim is subject to the No Surprises Act provisions that apply to services furnished by nonparticipating providers of air ambulance services.","","1","0","","","31492057","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N865","f2e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: This claim is subject to the No Surprises Act provisions that apply to nonemergency services furnished by nonparticipating providers during a patient visit to a participating facility.","","1","0","","","31492055","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N864","f1e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: This claim is subject to the No Surprises Act provisions that apply to emergency services.","","1","0","","","31492053","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N863","f0e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: This claim is subject to the No Surprises Act (NSA). The amount paid is the final out-of-network rate and was calculated based on an All Payer Model Agreement, in accordance with the NSA.","","1","0","","","31492051","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N862","efe49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: Member cost share is in compliance with the No Surprises Act, and is calculated using the lesser of the QPA or billed charge.","","1","0","","","31492049","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N861","eee49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: Mismatch between the submitted Patient Liability/Share of Cost and the amount on record for this recipient.","","1","0","","","31492047","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N860","ede49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: The Federal No Surprise Billing Act Qualified Payment Amount (QPA) was used to calculate the member cost share(s).","","1","0","","","31492045","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N86","cd453b90-e2d1-ef11-8eea-6045bd08003d","984780001","A failed trial of pelvic muscle exercise training is required in order for biofeedback training for the treatment of urinary incontinence to be covered.","","1","0","","","31492043","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N859","ece49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: The Federal No Surprise Billing Act was applied to the processing of this claim. Payment amounts are eligible for dispute pursuant to any Federal documented appeal/ grievance/ dispute resolution process(es).
Notes: (modified 3/1/2022)","","1","0","","","31492041","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N858","ebe49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: State regulations relating to an Out of Network Medical Emergency Care Act were applied to the processing of this claim. Payment amounts are eligible for dispute following the state's documented appeal/ grievance/ arbitration process.","","1","0","","","31492039","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N857","eae49c94-e2d1-ef11-8eea-6045bd0484af","984780001","This claim has been adjusted/reversed. Refund any collected copayment to the member.","","1","0","","","31492037","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N856","e9e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","This coverage is not subject to the exclusive jurisdiction of ERISA (1974), U.S.C. SEC 1001.","","1","0","","","31492035","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N855","e8e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","This coverage is subject to the exclusive jurisdiction of ERISA (1974), U.S.C. SEC 1001.","","1","0","","","31492033","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N854","e7e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: If you have primary other health insurance (OHI) coverage that has denied services, you must exhaust all appeal levels with your primary OHI before we can consider your claim for reimbursement.","","1","0","","","31492031","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N853","e6e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","The number of modalities performed per session exceeds our acceptable maximum.","","1","0","","","31492029","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N852","e5e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","The pay-to and rendering provider tax identification numbers (TINs) do not match","","1","0","","","31492027","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N851","e4e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Payment reduced because services were furnished by a therapy assistant.","","1","0","","","31492025","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N850","e3e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Missing/incomplete/invalid narrative explaining/describing this service/treatment.","","1","0","","","31492022","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N85","6cefa58f-e2d1-ef11-8eea-6045bd080606","984780001","Alert: This is the final installment payment.","","1","0","","","31492020","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N849","e2e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Missing Tooth Clause: Tooth missing prior to the member effective date.","","1","0","","","31492018","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N848","e1e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","National Drug Code (NDC) billed cannot be associated with a product.","","1","0","","","31492016","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N847","e0e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","National Drug Code (NDC) billed is obsolete.","","1","0","","","31492014","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N846","dfe49c94-e2d1-ef11-8eea-6045bd0484af","984780001","National Drug Code (NDC) supplied does not correspond to the HCPCs/CPT billed.","","1","0","","","31492012","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N845","dee49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: Nebraska Legislative LB997 July 24, 2020 - Out of Network Emergency Medical Care Act.","","1","0","","","31492010","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N844","dde49c94-e2d1-ef11-8eea-6045bd0484af","984780001","This claim, or a portion of this claim, was processed in accordance with the Nebraska Legislative LB997 July 24, 2020 - Out of Network Emergency Medical Care Act.","","1","0","","","31492008","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N843","dce49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Missing/incomplete/invalid Core-Based Statistical Area (CBSA) code.","","1","0","","","31492006","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N842","dbe49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: Patient cannot be billed for charges.","","1","0","","","31491999","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N841","dae49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: North Dakota Administrative Rule 92-01-02-50.3.","","1","0","","","31491997","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N840","d9e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Worker's compensation claim filed with a different state.","","1","0","","","31491995","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N84","6befa58f-e2d1-ef11-8eea-6045bd080606","984780001","Alert: Further installment payments are forthcoming.","","1","0","","","31491993","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N839","d8e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","The procedure code was added/changed because the level of service exceeds the compensable condition(s).","","1","0","","","31491991","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N838","d7e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: Service/procedure postponed due to a federal, state, or local mandate/disaster declaration. Any amounts applied to deductible or member liability will be applied to the prior plan year from which the procedure was cancelled.","","1","0","","","31491989","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N837","d6e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: Missing modifier was added.","","1","0","","","31491987","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N836","d5e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Provider W9 or Payee Registration not on file.","","1","0","","","31491985","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N835","d4e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Unrelated Service/procedure/treatment is reduced. The balance of this charge is the patient's responsibility.","","1","0","","","31491983","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N834","d3e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Jurisdiction exempt from sales and health tax charges.","","1","0","","","31491981","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N833","d2e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Patient share of cost waived.","","1","0","","","31491979","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N832","d1e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Duplicate occurrence code/occurrence span code.","","1","0","","","31491977","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N831","d0e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","You have not responded to requests to revalidate your provider/supplier enrollment information.","","1","0","","","31491975","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N830","cfe49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: The charge[s] for this service was processed in accordance with Federal/ State, Balance Billing/ No Surprise Billing regulations. As such, any amount identified with OA, CO, or PI cannot be collected from the member and may be considered provider liability or be billable to a subsequent payer. Any amount the provider collected over the identified PR amount must be refunded to the patient within applicable Federal/State timeframes. Payment amounts are eligible for dispute pursuant to any Federal/State documented appeal/grievance process(es).","","1","0","","","31491973","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N83","6aefa58f-e2d1-ef11-8eea-6045bd080606","984780001","No appeal rights. Adjudicative decision based on the provisions of a demonstration project.","","1","0","","","31491971","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N829","cee49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Missing/incomplete/invalid Diagnostics Exchange Z-Code Identifier.","","1","0","","","31491969","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N828","cde49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: Payment is suppressed due to a contracted funding.","","1","0","","","31491967","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N827","cce49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Missing/Incomplete/Invalid Federal Information Processing Standard (FIPS) Code.","","1","0","","","31491965","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N826","cbe49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Patient did not meet the inclusion criteria for the Medicare Shared Savings Program.","","1","0","","","31491963","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N825","cae49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Early intervention guidelines were not met.","","1","0","","","31491961","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N824","c9e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Electronic Visit Verification (EVV) data must be submitted through EVV Vendor.","","1","0","","","31491959","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N823","c8e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Incomplete/Invalid procedure modifier(s).","","1","0","","","31491957","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N822","c7e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Missing procedure modifier(s).","","1","0","","","31491955","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N821","c6e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Electronic Visit Verification System visit not found.","","1","0","","","31491953","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N820","c5e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Electronic Visit Verification System units do not meet requirements of visit.","","1","0","","","31491951","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N82","69efa58f-e2d1-ef11-8eea-6045bd080606","984780001","Provider must accept insurance payment as payment in full when a third party payer contract specifies full reimbursement.","","1","0","","","31491949","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N819","c4e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Patient not enrolled in Electronic Visit Verification System.","","1","0","","","31491947","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N818","c3e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Claims Dates of Service do not match Electronic Visit Verification System.","","1","0","","","31491945","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N817","c2e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: Applicable laboratories are required to collect and report private payor data and report that data to CMS between January 1, 2020 - March 31, 2020.","","1","0","","","31491943","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N816","c1e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Missing/Incomplete/Invalid NDC Unit of Measure","","1","0","","","31491941","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N815","c0e49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Missing/Incomplete/Invalid NDC Unit Count","","1","0","","","31491939","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N812","bfe49c94-e2d1-ef11-8eea-6045bd0484af","984780001","The start service date through end service date cannot span greater than 18 months.","","1","0","","","31491937","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N811","bee49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Missing Federal Sequestration Reduction from Prior Payer.","","1","0","","","31491935","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N810","bde49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: Due to federal, state or local disaster declaration, this claim has been processed at the in-network level of benefit. At the conclusion or expiration of the disaster declaration, network payment rules will be reinstated.","","1","0","","","31491933","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N81","68efa58f-e2d1-ef11-8eea-6045bd080606","984780001","Procedure billed is not compatible with tooth surface code.","","1","0","","","31491927","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N809","bce49c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: The fee schedule amount for this service was adjusted based on prior competitive bidding rates. For more information, contact your local contractor.","","1","0","","","31491925","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N808","0169aa93-e2d1-ef11-8eea-00224804c5e5","984780001","Not covered for this provider type / provider specialty.","","1","0","","","31491923","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N807","0069aa93-e2d1-ef11-8eea-00224804c5e5","984780001","Payment adjustment based on the Merit-based Incentive Payment System (MIPS).","","1","0","","","31491921","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N806","ff68aa93-e2d1-ef11-8eea-00224804c5e5","984780001","Payment is included in the Global transplant allowance.","","1","0","","","31491919","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N805","fe68aa93-e2d1-ef11-8eea-00224804c5e5","984780001","Alert: The claim/service was processed through the Correct Code Editor (CCE).","","1","0","","","31491917","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N804","fd68aa93-e2d1-ef11-8eea-00224804c5e5","984780001","Alert: The claim/service was processed through the Outpatient Code Editor (OCE).","","1","0","","","31491915","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N803","fc68aa93-e2d1-ef11-8eea-00224804c5e5","984780001","Submission of the claim for the service rendered is the responsibility of the Contracted Medical Group or Hospital.","","1","0","","","31491913","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N802","fb68aa93-e2d1-ef11-8eea-00224804c5e5","984780001","This claim/service is not payable under our service area. The claim must be filed to the Payer/Plan in whose service area the Rendering Physician is located.","","1","0","","","31491911","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N801","fa68aa93-e2d1-ef11-8eea-00224804c5e5","984780001","Services performed in a Medicare participating or CAH facility under a self-insured tribal Group Health Plan, in accordance with Federal Regulation 42 CFR 136.","","1","0","","","31491909","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N800","f968aa93-e2d1-ef11-8eea-00224804c5e5","984780001","Only one service date is allowed per claim.","","1","0","","","31491907","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N80","67efa58f-e2d1-ef11-8eea-6045bd080606","984780001","Missing/incomplete/invalid prenatal screening information.","","1","0","","","31491905","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N8","8faaad89-e2d1-ef11-8eea-6045bd080606","984780001","Crossover claim denied by previous payer and complete claim data not forwarded. Resubmit this claim to this payer to provide adequate data for adjudication.","","1","0","","","31491903","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N799","f868aa93-e2d1-ef11-8eea-00224804c5e5","984780001","Submitted identifier must be an individual identifier, not group identifier.
Notes: (Modified 3/1/2018)","","1","0","","","31491901","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N794","f368aa93-e2d1-ef11-8eea-00224804c5e5","984780001","Payment adjusted based on type of technology used.","","1","0","","","31491899","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N792","f268aa93-e2d1-ef11-8eea-00224804c5e5","984780001","Incomplete/invalid history & physical report.","","1","0","","","31491897","dc5c7cb8-6921-ef11-840b-0022480a10b0"
